latitude,longitude,label
9.6945835,77.2808169,not coconut farm
9.680509,77.2574929,coconut farm
9.6792295,77.2698409,partly coconut farm
9.67795,77.2646959,not coconut farm
9.6792295,77.2640099,not coconut farm
9.695863,77.2571499,partly coconut farm
9.683068,77.2729279,not coconut farm
9.7022605,77.2574929,not coconut farm
9.6886125,77.2753289,coconut farm
9.689039,77.2677829,coconut farm
9.687333,77.2605799,not coconut farm
9.6911715,77.2859619,not coconut farm
9.6843475,77.2725849,partly coconut farm
9.6903185,77.2746429,partly coconut farm
9.6792295,77.2742999,not coconut farm
9.697569,77.2890489,not coconut farm
9.6809355,77.2574929,coconut farm
9.6869065,77.2619519,not coconut farm
9.689892,77.2828749,not coconut farm
9.6834945,77.2643529,coconut farm
9.681362,77.2705269,not coconut farm
9.678803,77.2581789,coconut farm
9.6886125,77.2629809,partly coconut farm
9.6928775,77.2650389,not coconut farm
9.6869065,77.2568069,coconut farm
9.6860535,77.2588649,coconut farm
9.699275,77.2598939,not coconut farm
9.681362,77.2633239,partly coconut farm
9.6834945,77.2684689,not coconut farm
9.681362,77.2760149,not coconut farm
9.6852005,77.2694979,not coconut farm
9.6843475,77.2660679,not coconut farm
9.6903185,77.2712129,partly coconut farm
9.6937305,77.2794449,not coconut farm
9.6834945,77.2756719,not coconut farm
9.6758175,77.2804739,partly coconut farm
9.694157,77.2746429,not coconut farm
9.6817885,77.2715559,not coconut farm
9.6954365,77.2701839,coconut farm
9.6971425,77.2821889,partly coconut farm
9.687333,77.2763579,coconut farm
9.6792295,77.2756719,not coconut farm
9.698422,77.2791019,not coconut farm
9.693304,77.2571499,partly coconut farm
9.677097,77.2626379,not coconut farm
9.694157,77.2784159,partly coconut farm
9.6766705,77.2684689,partly coconut farm
9.677097,77.2667539,not coconut farm
9.683921,77.2557779,partly coconut farm
9.702687,77.2602369,not coconut farm
9.6783765,77.2629809,partly coconut farm
9.694157,77.2574929,coconut farm
9.6937305,77.2705269,partly coconut farm
9.6997015,77.2770439,coconut farm
9.691598,77.2571499,not coconut farm
9.6911715,77.2794449,partly coconut farm
9.688186,77.2763579,coconut farm
9.6886125,77.2801309,not coconut farm
9.6937305,77.2598939,partly coconut farm
9.6894655,77.2581789,coconut farm
9.6945835,77.2883629,not coconut farm
9.67795,77.2732709,partly coconut farm
9.6792295,77.2791019,not coconut farm
9.6962895,77.2578359,not coconut farm
9.690745,77.2791019,not coconut farm
9.6886125,77.2609229,partly coconut farm
9.683921,77.2832179,not coconut farm
9.681362,77.2804739,not coconut farm
9.700128,77.2732709,not coconut farm
9.683921,77.2725849,coconut farm
9.6809355,77.2578359,coconut farm
9.690745,77.2643529,not coconut farm
9.6979955,77.2818459,not coconut farm
9.6911715,77.2832179,not coconut farm
9.683068,77.2694979,partly coconut farm
9.6852005,77.2777299,not coconut farm
9.695863,77.2701839,coconut farm
9.695863,77.2598939,partly coconut farm
9.694157,77.2592079,not coconut farm
9.6920245,77.2725849,coconut farm
9.7014075,77.2602369,not coconut farm
9.6920245,77.2670969,coconut farm
